Counting,Vehicle type,Aust Postcode,Fuel type,Count
Vehicle Level,Passenger Vehicles,1450,Not Applicable,0
Vehicle Level,Passenger Vehicles,1450,Diesel,0
Vehicle Level,Passenger Vehicles,1450,Electric,0
Vehicle Level,Passenger Vehicles,1450,Petrol,0
Vehicle Level,Passenger Vehicles,1450,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1450,Other and unknown,0
Vehicle Level,Passenger Vehicles,1450,Total,0
Vehicle Level,Passenger Vehicles,1455,Not Applicable,0
Vehicle Level,Passenger Vehicles,1455,Diesel,0
Vehicle Level,Passenger Vehicles,1455,Electric,0
Vehicle Level,Passenger Vehicles,1455,Petrol,0
Vehicle Level,Passenger Vehicles,1455,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1455,Other and unknown,0
Vehicle Level,Passenger Vehicles,1455,Total,0
Vehicle Level,Passenger Vehicles,1460,Not Applicable,0
Vehicle Level,Passenger Vehicles,1460,Diesel,0
Vehicle Level,Passenger Vehicles,1460,Electric,0
Vehicle Level,Passenger Vehicles,1460,Petrol,0
Vehicle Level,Passenger Vehicles,1460,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1460,Other and unknown,0
Vehicle Level,Passenger Vehicles,1460,Total,0
Vehicle Level,Passenger Vehicles,1470,Not Applicable,0
Vehicle Level,Passenger Vehicles,1470,Diesel,3
Vehicle Level,Passenger Vehicles,1470,Electric,0
Vehicle Level,Passenger Vehicles,1470,Petrol,3
Vehicle Level,Passenger Vehicles,1470,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1470,Other and unknown,0
Vehicle Level,Passenger Vehicles,1470,Total,3
Vehicle Level,Passenger Vehicles,1475,Not Applicable,0
Vehicle Level,Passenger Vehicles,1475,Diesel,0
Vehicle Level,Passenger Vehicles,1475,Electric,0
Vehicle Level,Passenger Vehicles,1475,Petrol,3
Vehicle Level,Passenger Vehicles,1475,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1475,Other and unknown,0
Vehicle Level,Passenger Vehicles,1475,Total,3
Vehicle Level,Passenger Vehicles,1490,Not Applicable,0
Vehicle Level,Passenger Vehicles,1490,Diesel,3
Vehicle Level,Passenger Vehicles,1490,Electric,0
Vehicle Level,Passenger Vehicles,1490,Petrol,3
Vehicle Level,Passenger Vehicles,1490,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1490,Other and unknown,0
Vehicle Level,Passenger Vehicles,1490,Total,6
Vehicle Level,Passenger Vehicles,1495,Not Applicable,0
Vehicle Level,Passenger Vehicles,1495,Diesel,0
Vehicle Level,Passenger Vehicles,1495,Electric,0
Vehicle Level,Passenger Vehicles,1495,Petrol,3
Vehicle Level,Passenger Vehicles,1495,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1495,Other and unknown,0
Vehicle Level,Passenger Vehicles,1495,Total,3
Vehicle Level,Passenger Vehicles,1499,Not Applicable,0
Vehicle Level,Passenger Vehicles,1499,Diesel,0
Vehicle Level,Passenger Vehicles,1499,Electric,0
Vehicle Level,Passenger Vehicles,1499,Petrol,0
Vehicle Level,Passenger Vehicles,1499,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1499,Other and unknown,0
Vehicle Level,Passenger Vehicles,1499,Total,0
Vehicle Level,Passenger Vehicles,1565,Not Applicable,0
Vehicle Level,Passenger Vehicles,1565,Diesel,3
Vehicle Level,Passenger Vehicles,1565,Electric,0
Vehicle Level,Passenger Vehicles,1565,Petrol,0
Vehicle Level,Passenger Vehicles,1565,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1565,Other and unknown,3
Vehicle Level,Passenger Vehicles,1565,Total,5
Vehicle Level,Passenger Vehicles,1590,Not Applicable,0
Vehicle Level,Passenger Vehicles,1590,Diesel,3
Vehicle Level,Passenger Vehicles,1590,Electric,0
Vehicle Level,Passenger Vehicles,1590,Petrol,3
Vehicle Level,Passenger Vehicles,1590,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1590,Other and unknown,0
Vehicle Level,Passenger Vehicles,1590,Total,3
Vehicle Level,Passenger Vehicles,1595,Not Applicable,0
Vehicle Level,Passenger Vehicles,1595,Diesel,0
Vehicle Level,Passenger Vehicles,1595,Electric,0
Vehicle Level,Passenger Vehicles,1595,Petrol,0
Vehicle Level,Passenger Vehicles,1595,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1595,Other and unknown,0
Vehicle Level,Passenger Vehicles,1595,Total,0
Vehicle Level,Passenger Vehicles,1635,Not Applicable,0
Vehicle Level,Passenger Vehicles,1635,Diesel,0
Vehicle Level,Passenger Vehicles,1635,Electric,0
Vehicle Level,Passenger Vehicles,1635,Petrol,0
Vehicle Level,Passenger Vehicles,1635,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1635,Other and unknown,0
Vehicle Level,Passenger Vehicles,1635,Total,0
Vehicle Level,Passenger Vehicles,1640,Not Applicable,0
Vehicle Level,Passenger Vehicles,1640,Diesel,0
Vehicle Level,Passenger Vehicles,1640,Electric,0
Vehicle Level,Passenger Vehicles,1640,Petrol,0
Vehicle Level,Passenger Vehicles,1640,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1640,Other and unknown,0
Vehicle Level,Passenger Vehicles,1640,Total,0
Vehicle Level,Passenger Vehicles,1670,Not Applicable,0
Vehicle Level,Passenger Vehicles,1670,Diesel,9
Vehicle Level,Passenger Vehicles,1670,Electric,0
Vehicle Level,Passenger Vehicles,1670,Petrol,28
Vehicle Level,Passenger Vehicles,1670,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1670,Other and unknown,0
Vehicle Level,Passenger Vehicles,1670,Total,33
Vehicle Level,Passenger Vehicles,1671,Not Applicable,0
Vehicle Level,Passenger Vehicles,1671,Diesel,0
Vehicle Level,Passenger Vehicles,1671,Electric,0
Vehicle Level,Passenger Vehicles,1671,Petrol,14
Vehicle Level,Passenger Vehicles,1671,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1671,Other and unknown,0
Vehicle Level,Passenger Vehicles,1671,Total,14
Vehicle Level,Passenger Vehicles,1675,Not Applicable,0
Vehicle Level,Passenger Vehicles,1675,Diesel,0
Vehicle Level,Passenger Vehicles,1675,Electric,0
Vehicle Level,Passenger Vehicles,1675,Petrol,0
Vehicle Level,Passenger Vehicles,1675,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1675,Other and unknown,0
Vehicle Level,Passenger Vehicles,1675,Total,0
Vehicle Level,Passenger Vehicles,1715,Not Applicable,0
Vehicle Level,Passenger Vehicles,1715,Diesel,0
Vehicle Level,Passenger Vehicles,1715,Electric,0
Vehicle Level,Passenger Vehicles,1715,Petrol,0
Vehicle Level,Passenger Vehicles,1715,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1715,Other and unknown,0
Vehicle Level,Passenger Vehicles,1715,Total,0
Vehicle Level,Passenger Vehicles,1730,Not Applicable,0
Vehicle Level,Passenger Vehicles,1730,Diesel,0
Vehicle Level,Passenger Vehicles,1730,Electric,0
Vehicle Level,Passenger Vehicles,1730,Petrol,18
Vehicle Level,Passenger Vehicles,1730,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1730,Other and unknown,0
Vehicle Level,Passenger Vehicles,1730,Total,20
Vehicle Level,Passenger Vehicles,1750,Not Applicable,0
Vehicle Level,Passenger Vehicles,1750,Diesel,0
Vehicle Level,Passenger Vehicles,1750,Electric,0
Vehicle Level,Passenger Vehicles,1750,Petrol,0
Vehicle Level,Passenger Vehicles,1750,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1750,Other and unknown,0
Vehicle Level,Passenger Vehicles,1750,Total,0
Vehicle Level,Passenger Vehicles,1755,Not Applicable,0
Vehicle Level,Passenger Vehicles,1755,Diesel,0
Vehicle Level,Passenger Vehicles,1755,Electric,0
Vehicle Level,Passenger Vehicles,1755,Petrol,0
Vehicle Level,Passenger Vehicles,1755,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1755,Other and unknown,0
Vehicle Level,Passenger Vehicles,1755,Total,0
Vehicle Level,Passenger Vehicles,1811,Not Applicable,0
Vehicle Level,Passenger Vehicles,1811,Diesel,0
Vehicle Level,Passenger Vehicles,1811,Electric,0
Vehicle Level,Passenger Vehicles,1811,Petrol,0
Vehicle Level,Passenger Vehicles,1811,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1811,Other and unknown,0
Vehicle Level,Passenger Vehicles,1811,Total,0
Vehicle Level,Passenger Vehicles,1825,Not Applicable,0
Vehicle Level,Passenger Vehicles,1825,Diesel,0
Vehicle Level,Passenger Vehicles,1825,Electric,0
Vehicle Level,Passenger Vehicles,1825,Petrol,3
Vehicle Level,Passenger Vehicles,1825,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1825,Other and unknown,0
Vehicle Level,Passenger Vehicles,1825,Total,3
Vehicle Level,Passenger Vehicles,1871,Not Applicable,0
Vehicle Level,Passenger Vehicles,1871,Diesel,0
Vehicle Level,Passenger Vehicles,1871,Electric,0
Vehicle Level,Passenger Vehicles,1871,Petrol,4
Vehicle Level,Passenger Vehicles,1871,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1871,Other and unknown,0
Vehicle Level,Passenger Vehicles,1871,Total,4
Vehicle Level,Passenger Vehicles,1875,Not Applicable,0
Vehicle Level,Passenger Vehicles,1875,Diesel,0
Vehicle Level,Passenger Vehicles,1875,Electric,0
Vehicle Level,Passenger Vehicles,1875,Petrol,11
Vehicle Level,Passenger Vehicles,1875,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1875,Other and unknown,0
Vehicle Level,Passenger Vehicles,1875,Total,6
Vehicle Level,Passenger Vehicles,1885,Not Applicable,0
Vehicle Level,Passenger Vehicles,1885,Diesel,0
Vehicle Level,Passenger Vehicles,1885,Electric,0
Vehicle Level,Passenger Vehicles,1885,Petrol,0
Vehicle Level,Passenger Vehicles,1885,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1885,Other and unknown,0
Vehicle Level,Passenger Vehicles,1885,Total,0
Vehicle Level,Passenger Vehicles,1891,Not Applicable,0
Vehicle Level,Passenger Vehicles,1891,Diesel,0
Vehicle Level,Passenger Vehicles,1891,Electric,0
Vehicle Level,Passenger Vehicles,1891,Petrol,3
Vehicle Level,Passenger Vehicles,1891,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1891,Other and unknown,0
Vehicle Level,Passenger Vehicles,1891,Total,3
Vehicle Level,Passenger Vehicles,2000,Not Applicable,0
Vehicle Level,Passenger Vehicles,2000,Diesel,2756
Vehicle Level,Passenger Vehicles,2000,Electric,86
Vehicle Level,Passenger Vehicles,2000,Petrol,13887
Vehicle Level,Passenger Vehicles,2000,LPG/Dual fuel,32
Vehicle Level,Passenger Vehicles,2000,Other and unknown,917
Vehicle Level,Passenger Vehicles,2000,Total,17681
Vehicle Level,Passenger Vehicles,2001,Not Applicable,0
Vehicle Level,Passenger Vehicles,2001,Diesel,4
Vehicle Level,Passenger Vehicles,2001,Electric,0
Vehicle Level,Passenger Vehicles,2001,Petrol,58
Vehicle Level,Passenger Vehicles,2001,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,2001,Other and unknown,0
Vehicle Level,Passenger Vehicles,2001,Total,69
Vehicle Level,Passenger Vehicles,2006,Not Applicable,0
Vehicle Level,Passenger Vehicles,2006,Diesel,14
Vehicle Level,Passenger Vehicles,2006,Electric,0
Vehicle Level,Passenger Vehicles,2006,Petrol,35
Vehicle Level,Passenger Vehicles,2006,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,2006,Other and unknown,3
Vehicle Level,Passenger Vehicles,2006,Total,51
Vehicle Level,Passenger Vehicles,2007,Not Applicable,0
Vehicle Level,Passenger Vehicles,2007,Diesel,276
Vehicle Level,Passenger Vehicles,2007,Electric,8
Vehicle Level,Passenger Vehicles,2007,Petrol,1785
Vehicle Level,Passenger Vehicles,2007,LPG/Dual fuel,5
Vehicle Level,Passenger Vehicles,2007,Other and unknown,66
Vehicle Level,Passenger Vehicles,2007,Total,2136
Vehicle Level,Passenger Vehicles,2008,Not Applicable,0
Vehicle Level,Passenger Vehicles,2008,Diesel,296
Vehicle Level,Passenger Vehicles,2008,Electric,11
Vehicle Level,Passenger Vehicles,2008,Petrol,2248
Vehicle Level,Passenger Vehicles,2008,LPG/Dual fuel,6
Vehicle Level,Passenger Vehicles,2008,Other and unknown,71
Vehicle Level,Passenger Vehicles,2008,Total,2625
Vehicle Level,Passenger Vehicles,2009,Not Applicable,0
Vehicle Level,Passenger Vehicles,2009,Diesel,686
Vehicle Level,Passenger Vehicles,2009,Electric,28
Vehicle Level,Passenger Vehicles,2009,Petrol,4655
Vehicle Level,Passenger Vehicles,2009,LPG/Dual fuel,14
Vehicle Level,Passenger Vehicles,2009,Other and unknown,303
Vehicle Level,Passenger Vehicles,2009,Total,5686
Vehicle Level,Passenger Vehicles,2010,Not Applicable,0
Vehicle Level,Passenger Vehicles,2010,Diesel,989
Vehicle Level,Passenger Vehicles,2010,Electric,36
Vehicle Level,Passenger Vehicles,2010,Petrol,8628
Vehicle Level,Passenger Vehicles,2010,LPG/Dual fuel,29
Vehicle Level,Passenger Vehicles,2010,Other and unknown,238
Vehicle Level,Passenger Vehicles,2010,Total,9920
Vehicle Level,Passenger Vehicles,2011,Not Applicable,0
Vehicle Level,Passenger Vehicles,2011,Diesel,767
Vehicle Level,Passenger Vehicles,2011,Electric,50
Vehicle Level,Passenger Vehicles,2011,Petrol,7730
Vehicle Level,Passenger Vehicles,2011,LPG/Dual fuel,11
Vehicle Level,Passenger Vehicles,2011,Other and unknown,315
Vehicle Level,Passenger Vehicles,2011,Total,8871
Vehicle Level,Passenger Vehicles,2012,Not Applicable,0
Vehicle Level,Passenger Vehicles,2012,Diesel,0
Vehicle Level,Passenger Vehicles,2012,Electric,0
Vehicle Level,Passenger Vehicles,2012,Petrol,67
Vehicle Level,Passenger Vehicles,2012,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,2012,Other and unknown,32
Vehicle Level,Passenger Vehicles,2012,Total,97
Vehicle Level,Passenger Vehicles,2014,Not Applicable,0
Vehicle Level,Passenger Vehicles,2014,Diesel,0
Vehicle Level,Passenger Vehicles,2014,Electric,0
Vehicle Level,Passenger Vehicles,2014,Petrol,0
Vehicle Level,Passenger Vehicles,2014,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,2014,Other and unknown,0
Vehicle Level,Passenger Vehicles,2014,Total,0
Vehicle Level,Passenger Vehicles,2015,Not Applicable,0
Vehicle Level,Passenger Vehicles,2015,Diesel,838
Vehicle Level,Passenger Vehicles,2015,Electric,80
Vehicle Level,Passenger Vehicles,2015,Petrol,6177
Vehicle Level,Passenger Vehicles,2015,LPG/Dual fuel,19
Vehicle Level,Passenger Vehicles,2015,Other and unknown,291
Vehicle Level,Passenger Vehicles,2015,Total,7402
Vehicle Level,Passenger Vehicles,2016,Not Applicable,0
Vehicle Level,Passenger Vehicles,2016,Diesel,472
Vehicle Level,Passenger Vehicles,2016,Electric,14
Vehicle Level,Passenger Vehicles,2016,Petrol,4139
Vehicle Level,Passenger Vehicles,2016,LPG/Dual fuel,14
Vehicle Level,Passenger Vehicles,2016,Other and unknown,106
Vehicle Level,Passenger Vehicles,2016,Total,4746
Vehicle Level,Passenger Vehicles,2017,Not Applicable,0
Vehicle Level,Passenger Vehicles,2017,Diesel,1290
Vehicle Level,Passenger Vehicles,2017,Electric,68
Vehicle Level,Passenger Vehicles,2017,Petrol,9799
Vehicle Level,Passenger Vehicles,2017,LPG/Dual fuel,29
Vehicle Level,Passenger Vehicles,2017,Other and unknown,342
Vehicle Level,Passenger Vehicles,2017,Total,11533
Vehicle Level,Passenger Vehicles,2018,Not Applicable,0
Vehicle Level,Passenger Vehicles,2018,Diesel,698
Vehicle Level,Passenger Vehicles,2018,Electric,11
Vehicle Level,Passenger Vehicles,2018,Petrol,7705
Vehicle Level,Passenger Vehicles,2018,LPG/Dual fuel,57
Vehicle Level,Passenger Vehicles,2018,Other and unknown,183
Vehicle Level,Passenger Vehicles,2018,Total,8647
Vehicle Level,Passenger Vehicles,2019,Not Applicable,0
Vehicle Level,Passenger Vehicles,2019,Diesel,818
Vehicle Level,Passenger Vehicles,2019,Electric,8
Vehicle Level,Passenger Vehicles,2019,Petrol,6925
Vehicle Level,Passenger Vehicles,2019,LPG/Dual fuel,28
Vehicle Level,Passenger Vehicles,2019,Other and unknown,136
Vehicle Level,Passenger Vehicles,2019,Total,7924
Vehicle Level,Passenger Vehicles,2020,Not Applicable,0
Vehicle Level,Passenger Vehicles,2020,Diesel,1423
Vehicle Level,Passenger Vehicles,2020,Electric,21
Vehicle Level,Passenger Vehicles,2020,Petrol,17127
Vehicle Level,Passenger Vehicles,2020,LPG/Dual fuel,42
Vehicle Level,Passenger Vehicles,2020,Other and unknown,974
Vehicle Level,Passenger Vehicles,2020,Total,19587
Vehicle Level,Passenger Vehicles,2021,Not Applicable,0
Vehicle Level,Passenger Vehicles,2021,Diesel,963
Vehicle Level,Passenger Vehicles,2021,Electric,44
Vehicle Level,Passenger Vehicles,2021,Petrol,6123
Vehicle Level,Passenger Vehicles,2021,LPG/Dual fuel,8
Vehicle Level,Passenger Vehicles,2021,Other and unknown,160
Vehicle Level,Passenger Vehicles,2021,Total,7300
Vehicle Level,Passenger Vehicles,2022,Not Applicable,0
Vehicle Level,Passenger Vehicles,2022,Diesel,673
Vehicle Level,Passenger Vehicles,2022,Electric,35
Vehicle Level,Passenger Vehicles,2022,Petrol,5255
Vehicle Level,Passenger Vehicles,2022,LPG/Dual fuel,6
Vehicle Level,Passenger Vehicles,2022,Other and unknown,124
Vehicle Level,Passenger Vehicles,2022,Total,6089
Vehicle Level,Passenger Vehicles,2023,Not Applicable,0
Vehicle Level,Passenger Vehicles,2023,Diesel,791
Vehicle Level,Passenger Vehicles,2023,Electric,60
Vehicle Level,Passenger Vehicles,2023,Petrol,4797
Vehicle Level,Passenger Vehicles,2023,LPG/Dual fuel,4
Vehicle Level,Passenger Vehicles,2023,Other and unknown,139
Vehicle Level,Passenger Vehicles,2023,Total,5795
Vehicle Level,Passenger Vehicles,2024,Not Applicable,0
Vehicle Level,Passenger Vehicles,2024,Diesel,738
Vehicle Level,Passenger Vehicles,2024,Electric,39
Vehicle Level,Passenger Vehicles,2024,Petrol,4555
Vehicle Level,Passenger Vehicles,2024,LPG/Dual fuel,17
Vehicle Level,Passenger Vehicles,2024,Other and unknown,123
Vehicle Level,Passenger Vehicles,2024,Total,5468
Vehicle Level,Passenger Vehicles,2025,Not Applicable,0
Vehicle Level,Passenger Vehicles,2025,Diesel,516
Vehicle Level,Passenger Vehicles,2025,Electric,40
Vehicle Level,Passenger Vehicles,2025,Petrol,3278
Vehicle Level,Passenger Vehicles,2025,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,2025,Other and unknown,80
Vehicle Level,Passenger Vehicles,2025,Total,3923
Vehicle Level,Passenger Vehicles,2026,Not Applicable,0
Vehicle Level,Passenger Vehicles,2026,Diesel,1825
Vehicle Level,Passenger Vehicles,2026,Electric,61
Vehicle Level,Passenger Vehicles,2026,Petrol,12467
Vehicle Level,Passenger Vehicles,2026,LPG/Dual fuel,47
Vehicle Level,Passenger Vehicles,2026,Other and unknown,269
Vehicle Level,Passenger Vehicles,2026,Total,14662
Vehicle Level,Passenger Vehicles,2027,Not Applicable,0
Vehicle Level,Passenger Vehicles,2027,Diesel,583
Vehicle Level,Passenger Vehicles,2027,Electric,36
Vehicle Level,Passenger Vehicles,2027,Petrol,3964
Vehicle Level,Passenger Vehicles,2027,LPG/Dual fuel,4
Vehicle Level,Passenger Vehicles,2027,Other and unknown,131
Vehicle Level,Passenger Vehicles,2027,Total,4718
Vehicle Level,Passenger Vehicles,2028,Not Applicable,0
Vehicle Level,Passenger Vehicles,2028,Diesel,362
Vehicle Level,Passenger Vehicles,2028,Electric,14
Vehicle Level,Passenger Vehicles,2028,Petrol,2393
Vehicle Level,Passenger Vehicles,2028,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,2028,Other and unknown,73
Vehicle Level,Passenger Vehicles,2028,Total,2848
Vehicle Level,Passenger Vehicles,2029,Not Applicable,0
Vehicle Level,Passenger Vehicles,2029,Diesel,569
Vehicle Level,Passenger Vehicles,2029,Electric,41
Vehicle Level,Passenger Vehicles,2029,Petrol,4651
Vehicle Level,Passenger Vehicles,2029,LPG/Dual fuel,3
Vehicle Level,Passenger Vehicles,2029,Other and unknown,141
Vehicle Level,Passenger Vehicles,2029,Total,5404
Vehicle Level,Passenger Vehicles,2030,Not Applicable,0
Vehicle Level,Passenger Vehicles,2030,Diesel,1196
Vehicle Level,Passenger Vehicles,2030,Electric,116
Vehicle Level,Passenger Vehicles,2030,Petrol,7448
Vehicle Level,Passenger Vehicles,2030,LPG/Dual fuel,12
Vehicle Level,Passenger Vehicles,2030,Other and unknown,197
Vehicle Level,Passenger Vehicles,2030,Total,8972
Vehicle Level,Passenger Vehicles,2031,Not Applicable,0
Vehicle Level,Passenger Vehicles,2031,Diesel,1494
Vehicle Level,Passenger Vehicles,2031,Electric,42
Vehicle Level,Passenger Vehicles,2031,Petrol,13521
Vehicle Level,Passenger Vehicles,2031,LPG/Dual fuel,35
Vehicle Level,Passenger Vehicles,2031,Other and unknown,300
Vehicle Level,Passenger Vehicles,2031,Total,15382
Vehicle Level,Passenger Vehicles,2032,Not Applicable,0
Vehicle Level,Passenger Vehicles,2032,Diesel,455
Vehicle Level,Passenger Vehicles,2032,Electric,10
Vehicle Level,Passenger Vehicles,2032,Petrol,5132
Vehicle Level,Passenger Vehicles,2032,LPG/Dual fuel,32
Vehicle Level,Passenger Vehicles,2032,Other and unknown,125
Vehicle Level,Passenger Vehicles,2032,Total,5747
Vehicle Level,Passenger Vehicles,2033,Not Applicable,0
Vehicle Level,Passenger Vehicles,2033,Diesel,431
Vehicle Level,Passenger Vehicles,2033,Electric,20
Vehicle Level,Passenger Vehicles,2033,Petrol,4129
Vehicle Level,Passenger Vehicles,2033,LPG/Dual fuel,17
Vehicle Level,Passenger Vehicles,2033,Other and unknown,107
Vehicle Level,Passenger Vehicles,2033,Total,4698
Vehicle Level,Passenger Vehicles,2034,Not Applicable,0
Vehicle Level,Passenger Vehicles,2034,Diesel,1001
Vehicle Level,Passenger Vehicles,2034,Electric,36
Vehicle Level,Passenger Vehicles,2034,Petrol,8619
Vehicle Level,Passenger Vehicles,2034,LPG/Dual fuel,14
Vehicle Level,Passenger Vehicles,2034,Other and unknown,163
Vehicle Level,Passenger Vehicles,2034,Total,9843
Vehicle Level,Passenger Vehicles,2035,Not Applicable,0
Vehicle Level,Passenger Vehicles,2035,Diesel,1607
Vehicle Level,Passenger Vehicles,2035,Electric,34
Vehicle Level,Passenger Vehicles,2035,Petrol,15223
Vehicle Level,Passenger Vehicles,2035,LPG/Dual fuel,74
Vehicle Level,Passenger Vehicles,2035,Other and unknown,350
Vehicle Level,Passenger Vehicles,2035,Total,17290
Vehicle Level,Passenger Vehicles,2036,Not Applicable,0
Vehicle Level,Passenger Vehicles,2036,Diesel,1609
Vehicle Level,Passenger Vehicles,2036,Electric,28
Vehicle Level,Passenger Vehicles,2036,Petrol,14610
Vehicle Level,Passenger Vehicles,2036,LPG/Dual fuel,72
Vehicle Level,Passenger Vehicles,2036,Other and unknown,301
Vehicle Level,Passenger Vehicles,2036,Total,16616
Vehicle Level,Passenger Vehicles,2037,Not Applicable,0
Vehicle Level,Passenger Vehicles,2037,Diesel,607
Vehicle Level,Passenger Vehicles,2037,Electric,27
Vehicle Level,Passenger Vehicles,2037,Petrol,6088
Vehicle Level,Passenger Vehicles,2037,LPG/Dual fuel,18
Vehicle Level,Passenger Vehicles,2037,Other and unknown,203
Vehicle Level,Passenger Vehicles,2037,Total,6941
Vehicle Level,Passenger Vehicles,2038,Not Applicable,0
Vehicle Level,Passenger Vehicles,2038,Diesel,459
